Date;Advanced Micro Devices (EUR);Airbus (EUR);Alphabet A (EUR);Amazon (EUR);BASF (EUR);Bayer (EUR);BP (EUR);BMW (EUR);Brenntag (EUR);Cisco (EUR);Commerzbank (EUR);Deutsche Bank (EUR);Deutsche Telekom (EUR);Dow (EUR);Einhell Ger  Vz I (EUR);E.ON (EUR);Equinor (EUR);Evonik Industries (EUR);Exxon Mobil (EUR);Henkel (EUR);Honeywell (EUR);IBM (EUR);ING (EUR);Infineon (EUR);Intel (EUR);Linde (EUR);Mercedes-Benz (EUR);Merck KGaA (EUR);Meta (EUR);Microsoft (EUR);Novartis (EUR);NVIDIA (EUR);Palantir (EUR);Pfizer (EUR);Porsche (Vz) (EUR);Qiagen (EUR);Rheinmetall (EUR);RWE (EUR);SAP (EUR);Shell (EUR);Siemens (EUR);Tesla (EUR);Total Energy (EUR);Volkswagen (EUR);Wacker Chemie (EUR)
24.05.2021 00:00:00;63,52;98,33;96,43;132,85;68,34;56,32;3666;85,90;76,60;43,89;6521;12386;17274;57,14;;10214;17382;29,25;48,82;82,25;183,15;113,3272;11,16;32,40;46,96;245,95;63765;146,95;265,90;205,15;;12,8675;17,21;32655;;41,7261;84,14;32,73;116,16;16486;137,26;165,10;;278,20;136,75
25.05.2021 00:00:00;63,58;97,49;96,33;133,10;67,25;55,47;3608;85,67;77,24;43475;6,57;12,14;17154;57,02;;10002;17302;29,35;47565;82,15;183,25;112,1806;11076;32,60;46,38;248,05;64,2183;147,55;267,50;205,60;;12,7675;17534;32065;;42,0442;84,36;32,28;114,64;16096;135,66;164,7167;;279,60;137,55
26.05.2021 00:00:00;64,3;97,89;97,47;133,90;66,86;53,60;3602;86,39;77,08;43345;6,47;12196;17,20;56,90;;10,03;17,53;29,06;48295;82,35;183,40;112,2284;11122;32,30;46,67;246,10;65,1417;148,10;268,70;205,95;;12,88;18124;31885;;42,8077;84,84;32,12;115,54;16,00;135,56;169,20;;281,00;138,95
27.05.2021 00:00:00;64;106,42;96,75;132,45;66,90;52,44;3568;87,46;77,10;43,40;6,66;12276;17,16;56,60;;9896;17,68;29,38;48,03;81,75;188,90;112,6584;11,40;32,55;47,22;246,25;65,4775;145,35;273,10;204,80;;12,6925;18572;31745;;42,9349;85,64;31,40;113,88;15,83;132,90;172,3333;;289,00;140,15
28.05.2021 00:00:00;65,8;108,22;96,5;132275;67,30;52,44;3588;87,29;77,20;43455;6643;12382;17098;56,14;;9999;17854;29,44;47935;81,70;189,75;112,7061;11,45;33,10;46835;247,50;64,4785;147,10;269,75;204,90;;13325;18822;31785;;42,8607;85,52;31,22;114,96;15802;134,90;171,2333;;296,20;138,25
31.05.2021 00:00:00;65,42;106,8;96,65;132,00;67,19;51,77;3554;86,56;77,32;43,00;6584;12,11;17,04;56,24;;9872;17,55;29,59;48005;81,15;188,25;112,8972;11302;33,40;46,89;246,55;63,7986;147,60;267,15;204,00;;13,2525;19,00;31805;;42,7971;85,56;30,99;113,84;15664;132,98;169,8333;;293,00;136,90
01.06.2021 00:00:00;66,23;109,24;97,44;131725;67,99;51,60;3672;89,01;78,24;43115;6,66;12,40;17228;57,56;;9934;18464;29,46;49415;81,60;190,90;112,6584;11,67;33,60;46505;246,85;65,5698;147,20;269,50;202,15;;13,31;18868;31525;;41567;86,18;31,39;114,52;16188;135,28;170,20;;300,40;137,95
02.06.2021 00:00:00;67,26;110,82;97;132375;68,09;52,25;3758;89,92;77,32;43,27;6839;12438;17214;56,50;;9,95;18798;29,90;49,90;81,90;189,50;113,9483;11544;33,12;47105;248,00;65,8468;144,00;269,15;202,40;;13,72;20,05;31695;;40,9202;86,10;30,75;114,34;16402;136,36;165,2667;;309,80;135,85
03.06.2021 00:00:00;66,2;109,7;96,54;131,40;68,19;52,29;3,80;93,55;77,68;43,96;6875;12,51;17276;57,70;;9961;18814;30,03;50,35;81,95;188,70;114,4739;11664;33,05;46405;245,85;67,1564;144,25;269,00;202,55;;13,99;19482;32,10;;40,9414;86,50;30,68;113,60;16,57;135,70;157,4167;;309,40;135,00
04.06.2021 00:00:00;67,24;110,28;98,47;131,75;68,62;52,67;3734;94,69;77,30;44,35;6,82;12,43;17262;57,98;;10,05;18,90;29,10;50,46;81,60;188,05;115,8116;11428;33,40;47225;246,00;66829;146,55;271,35;206,00;;14,4475;19778;32195;;40,6339;87,36;30,82;114,48;16488;136,20;164,1167;;308,60;137,15
